"Source","Target","Type","id","label","timeset","weight"
5,1,"Directed",0,,,"1.0"
9,1,"Directed",1,,,"1.0"
12,1,"Directed",2,,,"1.0"
16,1,"Directed",3,,,"1.0"
19,1,"Directed",4,,,"1.0"
23,1,"Directed",5,,,"1.0"
25,1,"Directed",6,,,"1.0"
32,1,"Directed",7,,,"1.0"
33,1,"Directed",8,,,"1.0"
34,1,"Directed",9,,,"1.0"
39,1,"Directed",10,,,"1.0"
6,2,"Directed",11,,,"1.0"
10,2,"Directed",12,,,"1.0"
11,2,"Directed",13,,,"1.0"
47,2,"Directed",14,,,"1.0"
13,2,"Directed",15,,,"1.0"
16,2,"Directed",16,,,"1.0"
21,2,"Directed",17,,,"1.0"
22,2,"Directed",18,,,"1.0"
25,2,"Directed",19,,,"1.0"
26,2,"Directed",20,,,"1.0"
30,2,"Directed",21,,,"1.0"
35,2,"Directed",22,,,"1.0"
37,2,"Directed",23,,,"1.0"
40,2,"Directed",24,,,"1.0"
41,2,"Directed",25,,,"1.0"
42,2,"Directed",26,,,"1.0"
43,2,"Directed",27,,,"1.0"
45,2,"Directed",28,,,"1.0"
46,2,"Directed",29,,,"1.0"
48,2,"Directed",30,,,"1.0"
6,3,"Directed",31,,,"1.0"
7,3,"Directed",32,,,"1.0"
15,3,"Directed",33,,,"1.0"
20,3,"Directed",34,,,"1.0"
27,3,"Directed",35,,,"1.0"
28,3,"Directed",36,,,"1.0"
36,3,"Directed",37,,,"1.0"
9,4,"Directed",38,,,"1.0"
10,4,"Directed",39,,,"1.0"
11,4,"Directed",40,,,"1.0"
47,4,"Directed",41,,,"1.0"
15,4,"Directed",42,,,"1.0"
17,4,"Directed",43,,,"1.0"
19,4,"Directed",44,,,"1.0"
22,4,"Directed",45,,,"1.0"
23,4,"Directed",46,,,"1.0"
27,4,"Directed",47,,,"1.0"
29,4,"Directed",48,,,"1.0"
31,4,"Directed",49,,,"1.0"
34,4,"Directed",50,,,"1.0"
35,4,"Directed",51,,,"1.0"
37,4,"Directed",52,,,"1.0"
38,4,"Directed",53,,,"1.0"
41,4,"Directed",54,,,"1.0"
