"id","nome","cnpj","label","Resumo","Tipo","Local","Responsável","Atividade Principal","Natureza Jurídica","Capital Social","Abertura","Sócios","Atividades secundárias"
1,"Consorcio Intersul De Transportes","12464869000176","Intersul",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Claudio Callak Coelho","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
2,"Consorcio Internorte De Transportes","12464539000180","Internorte",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Humberto Fernandes Valente","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
3,"Consorcio Santa Cruz Transportes","12464577000133","SantaCruz",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Orlando Pedroso Lopes Marques","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
4,"Consorcio Transcarioca De Tranportes ","12464553000184","Transcarioca",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Avelino Antunes","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
5,"Auto Viacao Alpha S A ","33500984000129","Alpha","A empresa foi fundada em 1961, a pedido do então governador do estado da Guanabara Carlos Lacerda. Sediada no Engenho Novo, a Alpha opera na Tijuca, Muda e Usina, na zona norte da cidade.","Operadora","R Dona Romana 130 - Engenho Novo - 20.710-200
Rio De Janeiro - Rj","Jacob Barata Filho","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,29/09/66,,
6,"Auto Viacao Bangu Ltda","33461286000161","Bangu","Fundada em 1962, pertencia ao Consórcio Santa Cruz e operava 23 linhas na zona oeste. Em março de 2016, foi vendida para o Grupo Redentor, liderado pela Viação Redentor, que integra o Consórcio Transcarioca. Porém, em maio do mesmo ano a empresa encerrou as atividades. Na época, os funcionários, que estavam em greve em decorrência dos salários atrasados, declararam que os ônibus não tinham condições de circular.","Ex-operadora","Est Gal Canrobert Da Costa 536 - Magalhaes Bastos - 21.710-400
Rio De Janeiro - Rj","Manuel Ferreira Goncalves","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","33200000.00",23/09/66,,
7,"Auto Viacao Jabour Ltda","33554114000132","Jabour","Fundada em 1962, a empresa atua principalmente na ligação da zona oeste à Barra da Tijuca e ao centro do Rio de Janeiro, em especial no bairro de Campo Grande. Após uma intervenção judicial determinada em 2009, a Jabour assumiu linhas da Viação Oeste Ocidental.","Operadora","Av Santa Cruz 12375 - Senador Vasconcelos - 23.012-135
Rio De Janeiro - Rj","Antonio Augusto Alves Freitas","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","12000000.00",05/09/66,,
8,"Auto Viacao Palmares Ltda.","21233901000101","Palmares",,"Operadora","Av Cesario De Melo 8121 - Cosmos - 23.058-001
Rio De Janeiro - Rj","Orlando Pedroso Lopes Marques","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","1000000.00",13/10/14,,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional; Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente"
9,"Auto Viacao Tijuca S/a ","33535592000529","Tijuquinha","A Auto Viação Tijuca, mais conhecida como Tijuquinha, foi fundada na década de 1960. Em 1978, Jacob Barata tornou-se acionista da companhia.","Operadora","Est Dos Bandeirantes 4888 - Taquara - 22.710-571
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,17/05/99,,
10,"Auto Viacao Tres Amigos S A","33479213000105","Tres Amigos","Com sede em Bento Ribeiro, foi fundada em 1966. Atua em grande parte da zona norte. A viação pertence ao mesmo grupo da Caprichosa Auto Ônibus, porém desde 2008 são de diretorias diferentes.","Operadora","R Picui 505 - Bento Ribeiro - 21.550-370
Rio De Janeiro - Rj","Jose De Castro Barbosa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada","16745000.00",28/09/66,,
